Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.191,70.519,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.211,48.93,49.64,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178,40.546,40.914,41.282,41.65,42.016,42.374,42.721,43.053,43.367,43.66,43.931,44.178,44.404,44.611,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.283,63.301,64.19,64.914,65.463,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.448,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.5469088858,47.1416208779,47.731783325,48.3204319602,48.9100185353,49.4964784407,50.072946833,50.6344153268,51.1820996955,51.7220236091,52.2642104339,52.8229318032,53.4068873109,54.0158543894,54.6428665845,55.2779884571,55.9096123218,56.5280764081,57.1339002475,57.7348595288,58.3450234343,58.9773593187,59.6359973154,60.3162771302,61.0037610987,61.6768157542,62.3141202993,62.90134584,63.4296870022,63.8989814176,64.3515769681,64.7363405227,65.0438519725,65.414907347,65.7856525186,66.1960998468,66.5541028673,66.8971449636,67.2180914626,67.5176889474,67.8005911153,68.0725185171,68.340245994,68.6105053812,68.886187724,69.1646828025,69.4394591944,69.7015546492,69.9421742706,70.1575600377,70.3499162262,70.528774803,70.7038265981,70.882253721,71.0642924202,71.2495714103,71.4364968538,71.6225263456,71.8068251624,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.537,52.56,53.573,54.572,55.555,56.523,57.482,58.432,59.375,60.304,61.215,62.099,62.949,63.759,64.525,65.244,65.916,66.545,67.137,67.692,68.213,68.701,69.158,69.585,69.986,70.363,70.717,71.049,71.361,71.657,71.939,72.208,72.466,72.715,72.957,73.194,73.428,73.657,73.883,74.106,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.055,65.176,65.269,65.348,65.426,65.518,65.64,65.796,65.989,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.496,69.777,70.033,70.262,70.466,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.972,66.403,66.838,67.277,67.716,68.153,68.588,69.016,69.427,69.809,70.144,70.412,70.605,70.723,70.775,70.783,70.783,70.798,70.838,70.897,70.937,70.91,70.776,70.519,70.15,69.698,69.205,68.732,68.332,68.038,67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.968,62.523,63.049,63.54,63.992,64.401,64.762,65.081,65.363,65.616,65.847,66.066,66.28,66.498,66.727,66.975,67.244,67.533,67.837,68.154,68.482,68.818,69.156,69.491,69.82,70.137,70.44,70.728,71.004,71.267,71.52,71.765,72.006,72.247,72.489,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707,70.9731707317,70.9424390244,70.9117073171,70.8809756098,70.8502439024,70.8195121951,70.8692682927,70.9190243902,70.9687804878,71.0185365854,71.0682926829,71.4575609756,71.8468292683,72.236097561,72.6253658537,73.0146341463,73.3443902439,73.6741463415,74.003902439,74.3336585366,74.6634146341,74.9048780488,75.1463414634,75.387804878,75.6292682927,75.8707317073,76.1517073171,76.4326829268,76.7136585366,76.9946341463,77.2756097561,77.3780487805,77.8780487805,77.8780487805,77.8292682927,78.0780487805,78.4804878049,78.6317073171,78.9317073171,79.2341463415,79.6341463415,79.9365853659,80.2390243902,80.4902439024,80.8414634146,81.0414634146,81.2926829268,81.3951219512,81.543902439,81.6951219512,81.8951219512,82.0463414634,82.1487804878,82.3,82.4,82.4487804878,82.5,82.7487804878,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097561,69.5773170732,69.3095121951,69.4436585366,69.9219512195,69.722195122,70.0458536585,69.917804878,70.0575609756,69.8331707317,69.9146341463,70.1146341463,70.4634146341,71.0146341463,71.012195122,71.1146341463,71.5658536585,71.9146341463,72.012195122,72.312195122,72.4634146341,72.812195122,72.9609756098,73.012195122,73.612195122,73.8146341463,74.3170731707,74.7682926829,75.2170731707,75.2658536585,75.5682926829,75.6170731707,75.8170731707,76.0682926829,76.4195121951,76.6682926829,76.8707317073,77.3195121951,77.6707317073,77.8756097561,78.1268292683,78.5756097561,78.6780487805,78.6317073171,79.1804878049,79.3317073171,79.8804878049,80.1804878049,80.4317073171,80.3317073171,80.5804878049,80.9829268293,80.9365853659,81.1365853659,81.4902439024,81.1902439024,81.6414634146,81.643902439,81.6926829268,
