ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,33054,18011,117961,117969,118560,118674,131356,19793,118676
1,26431,83497,117910,117911,117884,118568,281735,19721,118570
0,73502,2685,122880,122974,117945,118043,117946,270488,118046
1,38704,100922,118192,118193,117895,118194,118195,117887,118196
1,42431,4272,117961,118343,120666,123045,123107,120518,123047
1,4675,3966,117961,118343,122012,118685,120316,308574,118687
1,38209,52925,117980,117981,117920,117879,117886,19721,117880
1,16639,5101,117961,118300,127849,118826,236735,118424,118828
1,22671,5701,117961,118052,120709,118207,174445,270488,118209
1,41269,3889,117961,118386,121668,118685,279443,308574,118687
1,25705,22522,119596,119597,119136,119137,254340,118474,119139
1,278393,3648,117961,118300,118631,118834,309123,118424,118836
1,42085,20495,118219,118220,117941,117879,117897,19721,117880
1,3719,3745,117961,118300,118360,124435,118362,118363,124436
1,20293,48626,117926,118124,117884,117879,119927,19721,117880
1,75078,21127,117961,118052,119408,118777,279443,308574,118779
1,35539,7519,91261,118026,118202,119962,168365,118205,119964
1,23096,3287,118752,119070,118042,118043,118043,270488,118046
1,95904,7547,117961,118327,118933,118784,130086,290919,118786
1,20349,2109,118219,118220,120694,124886,215880,118643,124888
1,25732,3722,117961,118300,120059,119849,124718,118638,119851
1,29100,7076,117961,118225,119238,119093,121698,119095,119096
1,37942,13122,118717,118718,117895,118194,118195,117887,118196
1,20351,8370,117961,118300,121176,120560,304465,118643,120562
1,73876,7807,117961,118327,118518,118043,118756,270488,118046
1,74760,8375,119691,119692,118635,174391,117906,119695,174393
1,15022,56199,117961,118052,118706,117905,117906,290919,117908
1,23875,34370,118074,23779,189629,179731,125334,117887,117973
1,79543,2641,117961,118386,118404,118321,117906,290919,118322
1,84038,69502,118658,118659,123606,118451,120319,118453,118454
1,39863,7629,117961,118327,120383,118784,213944,290919,118786
1,79121,52265,117961,118343,118833,118834,309123,118424,118836
1,38391,53214,118095,118096,118008,117879,117897,19721,117880
1,20289,50495,117910,117911,117941,118568,142278,19721,118570
1,22391,4909,117961,118300,118458,120344,311701,118424,120346
1,39330,4438,117961,118386,121668,118777,279443,308574,118779
1,43877,50571,118079,118080,117878,117885,118177,117887,117888
1,75834,51073,117961,118225,120050,122860,257510,3130,122862
1,32270,4729,117961,118300,125821,118980,301534,118295,118982
1,33125,20412,117890,117891,117878,117879,117879,19721,117880
1,75078,41782,118315,118463,118522,120765,120765,118467,120767
1,4605,3032,118212,118213,123201,117905,125206,290919,117908
1,17249,53280,118290,118291,118727,118834,202884,118424,118836
1,31983,6530,118074,23779,117920,119323,129197,19793,119325
1,39401,26321,117961,118327,118320,117905,117906,290919,117908
1,79850,55805,117961,118343,118856,118777,279443,308574,118779
1,28111,5317,117961,118300,118825,120344,152816,118424,120346
1,75901,3113,117961,118343,119598,119433,127160,118424,119435
1,34714,25242,117887,118178,118320,118641,306399,118643,118644
1,39883,7475,91261,118026,118202,118321,117906,290919,118322
1,41279,4260,119370,119370,123858,118702,144264,118704,118705
1,80208,23225,117961,118300,119984,120647,311441,118398,120649
1,39264,51781,119280,119281,118623,118995,136748,292795,118997
1,75078,73841,118315,118316,140453,129229,311378,119788,129231
1,17308,5244,117961,118343,119598,119928,310608,118331,119929
1,4675,133801,119062,119091,118535,118321,117906,290919,118322
1,42085,5701,117961,118052,118821,118636,310589,118638,118639
1,92383,17550,117961,118446,118684,118321,117906,290919,118322
1,4675,36,117961,118413,119968,117905,117906,290919,117908
1,79299,15385,117902,118041,117945,259173,130913,292795,118943
1,36291,16566,117961,118327,120559,118054,124424,117887,118055
1,80458,2594,117961,118300,123472,117905,117906,290919,117908
1,80978,2781,117961,118300,118783,118451,130134,118453,118454
1,39720,58457,117926,118266,117941,117879,117886,19721,117880
0,33054,31093,117961,118343,118810,118674,123679,19793,118676
1,43963,4565,117961,118386,121961,117905,290878,290919,117908
1,74383,17759,117961,118413,122007,118685,120316,308574,118687
1,35851,34826,118555,118178,118320,118321,117906,290919,118322
1,6977,108868,119062,119091,120297,117905,117906,290919,117908
1,20897,13545,117961,118386,123519,118530,278014,118131,118532
1,25406,58466,118602,118603,117920,118568,118568,19721,118570
1,38605,3883,117961,118343,119987,118536,132799,308574,118539
1,80566,6257,117961,118343,120722,117905,240983,290919,117908
1,38470,90820,118079,118080,117878,117879,287072,19721,117880
1,25705,22526,118887,118888,119136,120056,264384,118474,120058
1,27755,58466,118602,118603,117920,118568,118568,19721,118570
1,25993,25686,118541,118542,118562,126138,191718,124136,126140
0,44456,17514,117961,118343,121747,118321,117906,290919,118322
1,33423,99669,117961,118446,118701,119587,132595,118704,119589
1,79092,13781,117961,118386,121961,120516,123107,120518,120519
1,45540,19760,117961,117962,118352,118321,117906,290919,118322
1,16351,7495,117961,118225,119924,122551,128532,118762,122552
1,41594,50043,117961,118327,118929,124810,137809,249618,124812
1,70087,59575,117916,118150,117920,118568,122142,19721,118570
1,78422,18236,117961,118052,120304,122297,301475,118331,118899
1,79299,17128,117961,118300,119984,119949,230830,290919,119951
1,42085,131441,117961,118343,118292,118422,300136,118424,118425
1,16606,4945,117961,118300,118360,118636,171056,118638,118639
1,75078,261301,118315,118463,118522,118465,135253,118467,118468
1,73090,4698,117961,117962,118352,118321,117906,290919,118322
1,42085,4308,117961,118343,118833,118054,137362,117887,118055
1,14936,2594,117961,118300,123472,118784,117906,290919,118786
0,39264,18096,118256,118257,118623,118995,286106,292795,118997
1,74790,25558,117961,118052,120398,307024,311622,118331,118332
1,5173,5122,117961,118300,118631,118422,153195,118424,118425
1,975,8435,117961,118225,124449,122129,150283,121916,122131
1,79092,20341,117961,118300,125178,118054,118054,117887,118055
0,25993,52916,117890,118102,117878,127700,240782,19721,127702
1,16988,1558,117961,118300,120312,119849,282370,118638,119851
1,14354,46541,117959,117960,117941,118568,145191,19721,118570
